-5.000	3.7547151764235370e-06	9.0057205520527024e-08
-4.999	3.7548052352712433e-06	9.4744225880351532e-06
-4.998	3.7642796566757328e-06	1.8858997077092326e-05
-4.997	3.7831386563781670e-06	1.8949677854157737e-05
-4.996	3.8020883335815134e-06	1.9040775858675091e-05
-4.995	3.8211291087739059e-06	1.9132290900175814e-05
-4.994	3.8402614003370641e-06	1.9224226797947946e-05
-4.993	3.8594856258443732e-06	1.9316583376288882e-05
-4.992	3.8788022088788810e-06	1.9409364469308138e-05
-4.991	3.8982115747078418e-06	1.9502569916235607e-05
-4.990	3.9177141460886166e-06	1.9596203566335351e-05
-4.989	3.9373103472176417e-06	1.9690265273658742e-05
-4.988	3.9570006138524023e-06	1.9784758902568872e-05
-4.987	3.9767853749094011e-06	1.9879684322382679e-05
-4.986	3.9966650574589385e-06	1.9975045412617803e-05
-4.985	4.0166401027252125e-06	2.0070842057856747e-05
-4.984	4.0367109439070785e-06	2.0167078152827206e-05
-4.983	4.0568780227007006e-06	2.0263753597765827e-05
-4.982	4.0771417751905612e-06	2.0360872302610361e-05
-4.981	4.0975026485872060e-06	2.0458434183085067e-05
-4.980	4.1179610812683680e-06	2.0556443164781840e-05
-4.979	4.1385175258937208e-06	2.0654899179079084e-05
-4.978	4.1591724217513434e-06	2.0753806167111815e-05
-4.977	4.1799262285140832e-06	2.0853164075968095e-05
-4.976	4.2007793938596560e-06	2.0952976862714639e-05
-4.975	4.2217323701096798e-06	2.1053244490149165e-05
-4.974	4.2427856144741876e-06	2.1153970931270088e-05
-4.973	4.2639395884174178e-06	2.1255156165028871e-05
-4.972	4.2851947438800818e-06	2.1356804180133587e-05
-4.971	4.3065515482120864e-06	2.1458914971855975e-05
-4.970	4.3280104623029980e-06	2.1561492545002342e-05
-4.969	4.3495719552096329e-06	2.1664536910998173e-05
-4.968	4.3712364911363987e-06	2.1768052090914541e-05
-4.967	4.3930045438223540e-06	2.1872038112552722e-05
-4.966	4.4148765815349847e-06	2.1976499013359579e-05
-4.965	4.4368530800004225e-06	2.2081434837567688e-05
-4.964	4.4589345133716797e-06	2.2186849639166234e-05
-4.963	4.4811213634449412e-06	2.2292743478930116e-05
-4.962	4.5034141095037773e-06	2.2399120427501867e-05
-4.961	4.5258132271443011e-06	2.2505980562309730e-05
-4.960	4.5483192091987714e-06	2.2613327970871627e-05
-4.959	4.5709325406096541e-06	2.2721162747269147e-05
-4.958	4.5936536994996220e-06	2.2829488996062136e-05
-4.957	4.6164831888918361e-06	2.2938306828152061e-05
-4.956	4.6394214916158033e-06	2.3047620365196203e-05
-4.955	4.6624691169013634e-06	2.3157429735248975e-05
-4.954	4.6856265451011143e-06	2.3267739076732024e-05
-4.953	4.7088942856162286e-06	2.3378548535407823e-05
-4.952	4.7322728362526849e-06	2.3489862266573408e-05
-4.951	4.7557626950685683e-06	2.3601680433532774e-05
-4.950	4.7793643751162167e-06	2.3714007209013460e-05
